compound,created_at,retweet_count
-0.296,2022-03-30 03:55:31+00:00,198
-0.5994,2022-03-30 03:55:31+00:00,630
-0.3818,2022-03-30 03:55:25+00:00,327
0.3384,2022-03-30 03:55:22+00:00,174
0.1179,2022-03-30 03:55:19+00:00,135
0.7184,2022-03-30 03:55:16+00:00,892
0.5473,2022-03-30 03:55:01+00:00,312
0.4939,2022-03-30 03:55:01+00:00,200
0.4767,2022-03-30 03:54:44+00:00,190
0.7562,2022-03-30 03:54:44+00:00,504
0.8583,2022-03-30 03:54:42+00:00,240
0.6369,2022-03-30 03:54:40+00:00,254
0.4767,2022-03-30 03:54:39+00:00,533
0.6166,2022-03-30 03:54:36+00:00,178
0.6361,2022-03-30 03:54:32+00:00,288
-0.7351,2022-03-30 03:54:27+00:00,152
0.4767,2022-03-30 03:54:26+00:00,371
0.4767,2022-03-30 03:54:14+00:00,487
0.6248,2022-03-30 03:54:05+00:00,371
-0.6166,2022-03-30 03:54:05+00:00,105
0.6166,2022-03-30 03:54:02+00:00,178
0.6124,2022-03-30 03:53:54+00:00,3567
0.4939,2022-03-30 03:53:54+00:00,108
0.7184,2022-03-30 03:53:52+00:00,892
-0.8225,2022-03-30 03:53:52+00:00,125
0.4767,2022-03-30 03:53:49+00:00,231
0.7184,2022-03-30 03:53:48+00:00,892
0.7184,2022-03-30 03:53:45+00:00,892
0.5473,2022-03-30 03:53:38+00:00,312
0.4767,2022-03-30 03:53:32+00:00,748
0.4939,2022-03-30 03:53:31+00:00,108
0.0258,2022-03-30 03:53:28+00:00,4869
0.8269,2022-03-30 03:53:26+00:00,30889
-0.4019,2022-03-30 03:53:26+00:00,218
0.4939,2022-03-30 03:53:24+00:00,108
0.5423,2022-03-30 03:53:17+00:00,237
0.5473,2022-03-30 03:53:11+00:00,312
0.8269,2022-03-30 03:53:09+00:00,30889
-0.8225,2022-03-30 03:53:07+00:00,125
0.7351,2022-03-30 03:53:07+00:00,565
0.5473,2022-03-30 03:53:04+00:00,312
0.2003,2022-03-30 03:53:03+00:00,661
0.9153,2022-03-30 03:52:57+00:00,8772
0.7184,2022-03-30 03:52:54+00:00,892
-0.7297,2022-03-30 03:52:51+00:00,128
-0.5994,2022-03-30 03:52:48+00:00,630
0.7184,2022-03-30 03:52:44+00:00,892
0.7184,2022-03-30 03:52:44+00:00,892
0.5267,2022-03-30 03:52:40+00:00,1676
0.7184,2022-03-30 03:52:38+00:00,892
0.5473,2022-03-30 03:52:28+00:00,312
0.5473,2022-03-30 03:52:26+00:00,312
0.5473,2022-03-30 03:52:25+00:00,312
0.3818,2022-03-30 03:52:23+00:00,175
0.3384,2022-03-30 03:52:15+00:00,174
-0.5859,2022-03-30 03:52:13+00:00,134
-0.5423,2022-03-30 03:52:06+00:00,160
0.0772,2022-03-30 03:52:01+00:00,136
0.3818,2022-03-30 03:51:59+00:00,22775
0.5994,2022-03-30 03:51:58+00:00,1201
0.5473,2022-03-30 03:51:58+00:00,312
0.2732,2022-03-30 03:51:57+00:00,186
0.4767,2022-03-30 03:51:52+00:00,487
0.6369,2022-03-30 03:51:30+00:00,1544
0.944,2022-03-30 03:51:28+00:00,209
0.4767,2022-03-30 03:51:18+00:00,487
0.743,2022-03-30 03:51:15+00:00,177
0.3384,2022-03-30 03:51:09+00:00,174
0.7717,2022-03-30 03:50:58+00:00,536
-0.5859,2022-03-30 03:50:55+00:00,134
0.7184,2022-03-30 03:50:52+00:00,893
0.0258,2022-03-30 03:50:49+00:00,247
0.4767,2022-03-30 03:50:48+00:00,371
0.7184,2022-03-30 03:50:29+00:00,893
0.8269,2022-03-30 03:50:26+00:00,30889
0.4404,2022-03-30 03:50:23+00:00,156
0.7184,2022-03-30 03:50:23+00:00,893
-0.1531,2022-03-30 03:50:22+00:00,169
-0.5994,2022-03-30 03:50:22+00:00,630
0.5882,2022-03-30 03:50:11+00:00,228
0.6808,2022-03-30 03:50:10+00:00,3730
0.6166,2022-03-30 03:50:04+00:00,178
0.8269,2022-03-30 03:50:01+00:00,30889
0.7351,2022-03-30 03:49:57+00:00,565
0.7717,2022-03-30 03:49:53+00:00,536
0.8269,2022-03-30 03:49:49+00:00,30889
0.2263,2022-03-30 03:49:44+00:00,210
0.5473,2022-03-30 03:49:44+00:00,311
0.7184,2022-03-30 03:49:38+00:00,893
0.4019,2022-03-30 03:49:36+00:00,583
0.7717,2022-03-30 03:49:34+00:00,536
-0.4939,2022-03-30 03:49:33+00:00,108
0.7184,2022-03-30 03:49:31+00:00,893
-0.5994,2022-03-30 03:49:28+00:00,630
0.6808,2022-03-30 03:49:27+00:00,1200
0.0772,2022-03-30 03:49:25+00:00,136
0.3818,2022-03-30 03:49:19+00:00,424
0.3384,2022-03-30 03:49:13+00:00,174
0.5473,2022-03-30 03:49:09+00:00,311
0.3384,2022-03-30 03:49:09+00:00,174
0.7562,2022-03-30 03:49:08+00:00,504
0.3818,2022-03-30 03:49:04+00:00,22775
0.4767,2022-03-30 03:49:02+00:00,748
0.3384,2022-03-30 03:48:57+00:00,174
0.7365,2022-03-30 03:48:52+00:00,604
-0.4939,2022-03-30 03:48:49+00:00,530
0.6369,2022-03-30 03:48:47+00:00,254
0.3818,2022-03-30 03:48:46+00:00,22775
0.7351,2022-03-30 03:48:44+00:00,565
0.7184,2022-03-30 03:48:43+00:00,893
0.7096,2022-03-30 03:48:40+00:00,339
0.7184,2022-03-30 03:48:38+00:00,893
0.7184,2022-03-30 03:48:38+00:00,893
-0.296,2022-03-30 03:48:32+00:00,240
0.4019,2022-03-30 03:48:24+00:00,5450
0.5093,2022-03-30 03:48:24+00:00,103
0.7096,2022-03-30 03:48:24+00:00,304
-0.3818,2022-03-30 03:48:19+00:00,328
-0.5574,2022-03-30 03:48:18+00:00,302
0.4939,2022-03-30 03:48:13+00:00,200
0.7717,2022-03-30 03:48:12+00:00,536
0.7096,2022-03-30 03:48:05+00:00,339
0.7184,2022-03-30 03:48:02+00:00,893
-0.4767,2022-03-30 03:48:01+00:00,1273
0.3818,2022-03-30 03:48:01+00:00,424
0.8126,2022-03-30 03:48:01+00:00,188
0.2263,2022-03-30 03:47:57+00:00,210
0.7184,2022-03-30 03:47:55+00:00,893
0.5423,2022-03-30 03:47:51+00:00,237
0.7184,2022-03-30 03:47:50+00:00,893
0.6166,2022-03-30 03:47:48+00:00,178
0.4767,2022-03-30 03:47:47+00:00,190
0.3612,2022-03-30 03:47:35+00:00,113
0.3384,2022-03-30 03:47:33+00:00,174
-0.296,2022-03-30 03:47:33+00:00,369
-0.1695,2022-03-30 03:47:20+00:00,232
0.7184,2022-03-30 03:47:14+00:00,893
0.3612,2022-03-30 03:47:11+00:00,1971
0.3818,2022-03-30 03:47:10+00:00,7099
0.7184,2022-03-30 03:46:59+00:00,893
0.5423,2022-03-30 03:46:59+00:00,237
0.3818,2022-03-30 03:46:57+00:00,424
0.7184,2022-03-30 03:46:56+00:00,893
-0.5994,2022-03-30 03:46:55+00:00,630
0.8902,2022-03-30 03:46:52+00:00,974
0.6369,2022-03-30 03:46:49+00:00,254
0.7184,2022-03-30 03:46:47+00:00,893
-0.296,2022-03-30 03:46:47+00:00,369
0.8658,2022-03-30 03:46:46+00:00,102
0.5473,2022-03-30 03:46:42+00:00,311
-0.1027,2022-03-30 03:46:40+00:00,197
0.3818,2022-03-30 03:46:36+00:00,22775
0.2263,2022-03-30 03:46:34+00:00,210
-0.8225,2022-03-30 03:46:21+00:00,891
0.5473,2022-03-30 03:46:19+00:00,311
0.6369,2022-03-30 03:46:15+00:00,254
0.5267,2022-03-30 03:46:13+00:00,1676
0.2263,2022-03-30 03:46:02+00:00,210
-0.2961,2022-03-30 03:45:58+00:00,225
0.2244,2022-03-30 03:45:51+00:00,121
-0.6419,2022-03-30 03:45:48+00:00,5758
0.7184,2022-03-30 03:45:46+00:00,893
0.7184,2022-03-30 03:45:43+00:00,893
0.7184,2022-03-30 03:45:41+00:00,893
0.8269,2022-03-30 03:45:40+00:00,30890
0.2263,2022-03-30 03:45:37+00:00,177
-0.3818,2022-03-30 03:45:26+00:00,328
0.7096,2022-03-30 03:45:18+00:00,339
0.7184,2022-03-30 03:45:14+00:00,893
0.6166,2022-03-30 03:45:02+00:00,178
0.3595,2022-03-30 03:44:59+00:00,308
0.5473,2022-03-30 03:44:59+00:00,311
0.4404,2022-03-30 03:44:59+00:00,778
0.6808,2022-03-30 03:44:53+00:00,1201
-0.6369,2022-03-30 03:44:37+00:00,508
0.5473,2022-03-30 03:44:37+00:00,311
0.8269,2022-03-30 03:44:36+00:00,30890
-0.296,2022-03-30 03:44:34+00:00,1239
0.8269,2022-03-30 03:44:26+00:00,30890
-0.4767,2022-03-30 03:44:14+00:00,1273
0.944,2022-03-30 03:44:08+00:00,209
-0.4939,2022-03-30 03:44:08+00:00,108
0.4767,2022-03-30 03:43:55+00:00,748
0.4331,2022-03-30 03:43:50+00:00,4284
0.807,2022-03-30 03:43:40+00:00,111
0.5106,2022-03-30 03:43:40+00:00,3353
0.7184,2022-03-30 03:43:27+00:00,893
0.944,2022-03-30 03:43:23+00:00,209
0.7184,2022-03-30 03:43:17+00:00,893
0.7717,2022-03-30 03:43:16+00:00,536
-0.4939,2022-03-30 03:43:10+00:00,227
-0.126,2022-03-30 03:43:05+00:00,248
0.7184,2022-03-30 03:43:01+00:00,893
0.7974,2022-03-30 03:43:00+00:00,751
-0.1531,2022-03-30 03:42:56+00:00,170
-0.5994,2022-03-30 03:42:48+00:00,630
0.7096,2022-03-30 03:42:47+00:00,304
0.1779,2022-03-30 03:42:46+00:00,153
0.5473,2022-03-30 03:42:40+00:00,311
0.4927,2022-03-30 03:42:38+00:00,100
0.2023,2022-03-30 03:42:36+00:00,638
0.7184,2022-03-30 03:42:34+00:00,893
0.8269,2022-03-30 03:42:32+00:00,30891
0.5473,2022-03-30 03:42:24+00:00,311
-0.3818,2022-03-30 03:42:24+00:00,328
0.2263,2022-03-30 03:42:18+00:00,210
0.7717,2022-03-30 03:42:14+00:00,536
-0.6166,2022-03-30 03:42:14+00:00,105
0.4939,2022-03-30 03:42:12+00:00,319
0.7184,2022-03-30 03:42:12+00:00,893
0.7184,2022-03-30 03:42:08+00:00,893
0.5255,2022-03-30 03:42:04+00:00,6772
0.4404,2022-03-30 03:42:01+00:00,156
0.5473,2022-03-30 03:41:54+00:00,311
0.3818,2022-03-30 03:41:53+00:00,425
0.4404,2022-03-30 03:41:47+00:00,114
0.3384,2022-03-30 03:41:36+00:00,174
